"","SampleName","Methods","Nhat","SE_low","SE_high","CI_lb","CI_ub"
"183","125","ACE-1",988,922.062107033917,1053.93789296608,799,952
"184","126","Chao1984",1125,1044.38110700249,1205.61889299751,991,1311
"185","126","ChaoBunge2002",130729,-3981222.13531694,4242680.13531694,1267,22467627
"186","126","ACE-1",1404,1281.65553338961,1526.34446661039,997,1235
"187","127","Chao1984",966,888.712307090853,1043.28769290915,840,1146
"188","127","ChaoBunge2002",-3181,-7017.0833182756,655.083318275603,-226,-19402
"189","127","ACE-1",1297,1163.28999249037,1430.71000750963,870,1116
"190","128","Chao1984",698,662.022901145398,733.977098854602,640,783
"191","128","ChaoBunge2002",1067,874.333717539278,1259.66628246072,782,1560
"192","128","ACE-1",825,768.227889738581,881.772110261419,671,804
"193","161","Chao1984",759,718.224143715469,799.775856284531,693,855
"194","161","ChaoBunge2002",1298,1008.94820253268,1587.05179746732,889,2068
"195","161","ACE-1",915,849.412224975974,980.587775024026,728,877
"196","162","Chao1984",1015,949.648231371336,1080.35176862866,907,1166
"197","162","ChaoBunge2002",4982,-300.31966703763,10264.3196670376,1218,28406
"198","162","ACE-1",1277,1172.39792696243,1381.60207303757,936,1148
"199","163","Chao1984",1073,1005.43096788918,1140.56903211082,961,1229
"200","163","ChaoBunge2002",2593,1480.50570087339,3705.49429912661,1294,6077
"201","163","ACE-1",1251,1159.91768873897,1342.08231126103,958,1149
"202","164","Chao1984",732,679.804834809615,784.195165190385,649,857
"203","164","ChaoBunge2002",2142,692.267809994559,3591.73219000544,795,7547
"204","164","ACE-1",883,804.95513829168,961.04486170832,660,821
"205","165","Chao1984",776,727.447409328357,824.552590671643,698,891
"206","165","ChaoBunge2002",2586,731.671604140812,4440.32839585919,909,9634
"207","165","ACE-1",988,903.191240929933,1072.80875907007,736,910
"208","166","Chao1984",777,725.343430230675,828.656569769325,693,899
"209","166","ChaoBunge2002",2337,818.041232013201,3855.9587679868,890,7899
"210","166","ACE-1",964,879.667756086355,1048.33224391365,721,897
"211","167","Chao1984",787,741.235962425165,832.764037574835,713,895
"212","167","ChaoBunge2002",1075,908.241181264038,1241.75881873596,821,1491
"213","167","ACE-1",859,804.183400339056,913.816599660944,708,839
"214","168","Chao1984",738,701.460748225367,774.539251774633,679,824
"215","168","ChaoBunge2002",1411,1047.74842723005,1774.25157276995,915,2409
"216","168","ACE-1",936,866.788719304596,1005.2112806954,737,891
"217","169","Chao1984",476,435.957993248496,516.042006751504,415,575
"218","169","ChaoBunge2002",2553,-1548.02468414617,6654.02468414617,464,24179
"219","169","ACE-1",629,555.458928110232,702.541071889768,443,591
"220","170","Chao1984",824,775.617043473616,872.382956526384,744,936
"221","170","ChaoBunge2002",1901,1152.55215955076,2649.44784044924,1005,4199
"222","170","ACE-1",1024,942.228640253997,1105.771359746,784,961
"223","171","Chao1984",706,650.743778630818,761.256221369182,617,838
"224","171","ChaoBunge2002",2284,522.541190962899,4045.4588090371,769,9214
"225","171","ACE-1",854,773.493967030955,934.506032969045,626,793
"226","172","Chao1984",530,390.412699762197,669.587300237803,340,915
"227","172","ChaoBunge2002",-73,-113.695019876308,-32.3049801236924,-7,-169
"228","172","ACE-1",721,536.800068127602,905.199931872398,307,560
"229","173","Chao1984",765,704.68883976732,825.31116023268,668,908
"230","173","ChaoBunge2002",2234,698.751412454893,3769.24858754511,823,8001
"231","173","ACE-1",898,815.063292951615,980.936707048385,665,839
"232","174","Chao1984",525,450.651311927524,599.348688072476,413,712
"233","174","ChaoBunge2002",-795,-1596.12807856082,6.1280785608152,-45,-3766
"234","174","ACE-1",654,548.925653946285,759.074346053715,400,594
"235","175","Chao1984",225,192.927954880664,257.072045119336,180,311
"236","175","ChaoBunge2002",-402,-945.039862851202,141.039862851202,16,-2699
"237","175","ACE-1",352,275.90871902247,428.09128097753,202,340
"238","176","Chao1984",676,643.294370845286,708.705629154714,623,753
"239","176","ChaoBunge2002",1040,863.205723820212,1216.79427617979,776,1489
"240","176","ACE-1",818,761.628604636781,874.371395363219,667,801
"241","177","Chao1984",952,885.13430070599,1018.86569929401,842,1107
"242","177","ChaoBunge2002",-2432,-4859.22131497591,-4.77868502409137,-248,-11689
"243","177","ACE-1",1334,1203.3295825652,1464.6704174348,901,1138
"244","178","Chao1984",939,882.41829584334,995.58170415666,846,1070
"245","178","ChaoBunge2002",3899,391.469474607045,7406.53052539295,1116,18454
"246","178","ACE-1",1206,1105.7804293563,1306.2195706437,894,1098
"247","179","Chao1984",1027,960.714504592478,1093.28549540752,917,1180
"248","179","ChaoBunge2002",19508,-75863.3527424084,114879.352742408,1036,656529
"249","179","ACE-1",1339,1224.5261652855,1453.4738347145,960,1182
"250","180","Chao1984",825,774.259879243868,875.740120756132,742,944
"251","180","ChaoBunge2002",1840,1102.96117655269,2577.03882344731,962,4112
"252","180","ACE-1",996,917.312259522935,1074.68774047706,767,936
"253","181","Chao1984",740,694.176895016353,785.823104983647,667,850
"254","181","ChaoBunge2002",1433,942.984994682401,1923.0150053176,817,2877
"255","181","ACE-1",875,805.779494245533,944.220505754467,684,835
"256","182","Chao1984",757,698.957365197491,815.042634802509,664,896
"257","182","ChaoBunge2002",8530,-23231.5650051829,40291.5650051829,643,214716
"258","182","ACE-1",944,850.290798719724,1037.70920128028,680,864
"259","183","Chao1984",778,727.479972620987,828.520027379013,696,898
"260","183","ChaoBunge2002",1294,956.719832899535,1631.28016710047,835,2224
"261","183","ACE-1",874,809.090893630521,938.909106369479,693,838
"262","184","Chao1984",802,753.644222165288,850.355777834712,724,916
"263","184","ChaoBunge2002",2104,1040.82452274812,3167.17547725188,955,5646
"264","184","ACE-1",1008,923.984202951146,1092.01579704885,764,942
"265","185","Chao1984",711,667.959093284706,754.040906715294,642,813
"266","185","ChaoBunge2002",1092,860.222500732306,1323.77749926769,761,1704
"267","185","ACE-1",806,747.747943823222,864.252056176778,649,783
"268","186","Chao1984",470,441.962664613825,498.037335386175,428,541
"269","186","ChaoBunge2002",594,507.935495895347,680.064504104653,461,806
"270","186","ACE-1",515,479.215671460182,550.784328539818,432,520
"271","188","Chao1984",532,479.878957577076,584.121042422924,452,660
"272","188","ChaoBunge2002",-2860,-9536.6512086061,3816.6512086061,9,-40555
"273","188","ACE-1",713,621.206319115511,804.793680884489,473,646
"274","189","Chao1984",921,867.971922521659,974.028077478341,833,1044
"275","189","ChaoBunge2002",3377,964.490608918442,5789.50939108156,1176,12489
"276","189","ACE-1",1200,1102.81754610926,1297.18245389074,892,1090
"277","190","Chao1984",874,803.112396400318,944.887603599682,759,1041
"278","190","ChaoBunge2002",-2694,-5931.3963015209,543.396301520904,-180,-16314
"279","190","ACE-1",1178,1053.74628176241,1302.25371823759,790,1019
"280","191","Chao1984",465,399.399017235365,530.600982764635,367,631
"281","191","ChaoBunge2002",-371,-633.986401096663,-108.013598903337,-45,-1156
"282","191","ACE-1",699,569.280130012672,828.719869987328,393,615
"283","192","Chao1984",1331,1246.0096231844,1415.9903768156,1188,1524
"284","192","ChaoBunge2002",-45343,-442485.918393194,351799.918393194,-180,-2708707
"285","192","ACE-1",1678,1546.34542034858,1809.65457965142,1201,1455
"286","193","Chao1984",2267,2145.09399287837,2388.90600712163,2054,2534
"287","193","ChaoBunge2002",-3643,-5265.57662267576,-2020.42337732424,-1385,-8027
"288","193","ACE-1",3314,3066.4383697918,3561.5616302082,2209,2651
"289","194","Chao1984",3155,2987.60530041238,3322.39469958762,2859,3518
"290","194","ChaoBunge2002",-3039,-3950.89842891432,-2127.10157108568,-1587,-5222
"291","194","ACE-1",4550,4235.38291138998,4864.61708861002,2958,3501
"292","195","Chao1984",1939,1809.5847998503,2068.4152001497,1716,2227
"293","195","ChaoBunge2002",-1650,-2242.89134311686,-1057.10865688314,-736,-3112
"294","195","ACE-1",2869,2616.45234790172,3121.54765209828,1808,2240
"295","196","Chao1984",2014,1889.52829600323,2138.47170399677,1798,2289
"296","196","ChaoBunge2002",-1709,-2269.46255203936,-1148.53744796064,-824,-3060
"297","196","ACE-1",3130,2863.40966368587,3396.59033631413,1954,2403
"298","197","Chao1984",1870,1743.78420219909,1996.21579780091,1653,2151
"299","197","ChaoBunge2002",-1192,-1567.2704603485,-816.729539651499,-583,-2075
"300","197","ACE-1",2994,2715.12487163016,3272.87512836984,1809,2265
"301","198","Chao1984",1944,1812.18563494499,2075.81436505501,1718,2238
"302","198","ChaoBunge2002",-1875,-2592.88370072776,-1157.11629927224,-796,-3686
"303","198","ACE-1",2763,2525.94010816244,3000.05989183756,1760,2165
"304","199","Chao1984",1720,1598.2461499582,1841.7538500418,1512,1993
"305","199","ChaoBunge2002",-2002,-2904.5696982576,-1099.4303017424,-728,-4410
"306","199","ACE-1",2395,2181.21969280952,2608.78030719048,1551,1931
"307","200","Chao1984",1929,1791.59576742051,2066.40423257949,1693,2236
"308","200","ChaoBunge2002",-1655,-2285.66231165251,-1024.33768834749,-700,-3235
"309","200","ACE-1",2718,2472.44291893612,2963.55708106388,1719,2139
"310","201","Chao1984",1531,1427.68241020455,1634.31758979545,1355,1763
"311","201","ChaoBunge2002",-3016,-5092.62448452388,-939.375515476119,-649,-9650
"312","201","ACE-1",2156,1950.77033857828,2361.22966142172,1437,1813
"313","202","Chao1984",1475,1359.64989806836,1590.35010193164,1280,1737
"314","202","ChaoBunge2002",-1626,-2428.90971832831,-823.090281671689,-522,-3819
"315","202","ACE-1",2037,1835.44933410142,2238.55066589858,1301,1652
"316","203","Chao1984",1931,1787.12430438018,2074.87569561982,1685,2253
"317","203","ChaoBunge2002",-1193,-1588.30748094518,-797.692519054815,-560,-2134
"318","203","ACE-1",2838,2569.40962196502,3106.59037803498,1724,2163
"319","204","Chao1984",1997,1865.49986748602,2128.50013251398,1770,2289
"320","204","ChaoBunge2002",-2093,-2890.54016998997,-1295.45983001003,-898,-4111
"321","204","ACE-1",2862,2620.475370917,3103.524629083,1828,2243
"322","205","Chao1984",2073,1938.86168583796,2207.13831416204,1841,2370
"323","205","ChaoBunge2002",-1621,-2197.3520205398,-1044.6479794602,-725,-3031
"324","205","ACE-1",3159,2870.55011568748,3447.44988431252,1976,2459
"325","206","Chao1984",1592,1494.99216565713,1689.00783434287,1425,1808
"326","206","ChaoBunge2002",-2034,-2950.97227607072,-1117.02772392928,-738,-4478
"327","206","ACE-1",2492,2265.08730474915,2718.91269525085,1601,1996
"328","207","Chao1984",1798,1648.74870470798,1947.25129529202,1545,2135
"329","207","ChaoBunge2002",-954,-1263.26757502533,-644.732424974675,-452,-1682
"330","207","ACE-1",2595,2334.01577097568,2855.98422902432,1544,1971
"331","208","Chao1984",1725,1614.3144201155,1835.6855798845,1535,1972
"332","208","ChaoBunge2002",-2386,-3539.26612563649,-1232.73387436351,-811,-5553
"333","208","ACE-1",2489,2272.30403707075,2705.69596292925,1627,2009
"334","209","Chao1984",1027,956.388468940125,1097.61153105988,909,1189
"335","209","ChaoBunge2002",-4161,-9232.36924071208,910.369240712076,-326,-25855
"336","209","ACE-1",1462,1320.96034998872,1603.03965001128,987,1250
"337","210","Chao1984",1299,1201.9736881868,1396.0263118132,1137,1521
"338","210","ChaoBunge2002",-2665,-4659.0359666764,-670.964033323601,-499,-9281
"339","210","ACE-1",1741,1577.2635140446,1904.7364859554,1162,1462
"340","211","Chao1984",985,922.903201826256,1047.09679817374,881,1127
"341","211","ChaoBunge2002",-8036,-25521.7742967092,9449.77429670922,-190,-105171
"342","211","ACE-1",1429,1293.92838917333,1564.07161082667,981,1238
"343","212","Chao1984",1025,951.22477636942,1098.77522363058,902,1194
"344","212","ChaoBunge2002",-2534,-4637.36303357777,-430.636966422227,-394,-9870
"345","212","ACE-1",1507,1353.4360265033,1660.5639734967,991,1270
"346","213","Chao1984",907,831.681725525485,982.318274474515,784,1083
"347","213","ChaoBunge2002",-3069,-6875.55876671363,737.558766713626,-202,-19395
"348","213","ACE-1",1208,1080.71033442383,1335.28966557617,808,1045
"349","214","Chao1984",1444,1326.00077368322,1561.99922631678,1246,1713
"350","214","ChaoBunge2002",-936,-1281.23415103633,-590.765848963668,-396,-1776
"351","214","ACE-1",2181,1951.0880611804,2410.9119388196,1305,1682
"352","215","Chao1984",809,747.64280781946,870.35719218054,709,952
"353","215","ChaoBunge2002",-2895,-6293.37525282697,503.375252826967,-220,-17067
"354","215","ACE-1",1176,1050.32716124697,1301.67283875303,776,1007
"355","216","Chao1984",1135,1056.63863576553,1213.36136423447,1004,1314
"356","216","ChaoBunge2002",-2479,-4301.80475339293,-656.195246607072,-475,-8469
"357","216","ACE-1",1662,1500.92530560097,1823.07469439903,1094,1382
"358","217","Chao1984",1185,1100.66789420925,1269.33210579075,1044,1377
"359","217","ChaoBunge2002",-5606,-13368.2710224843,2156.27102248432,-361,-41110
"360","217","ACE-1",1577,1434.40959077145,1719.59040922855,1078,1346
"361","218","Chao1984",1053,956.100804880157,1149.89919511984,894,1279
"362","218","ChaoBunge2002",-3125,-6785.72127317844,535.721273178438,-241,-18385
"363","218","ACE-1",1279,1146.79812893787,1411.20187106213,860,1109
"364","219","Chao1984",870,812.209578971177,927.790421028823,774,1004
"365","219","ChaoBunge2002",12658,-31748.0081216114,57064.0081216114,951,298108
"366","219","ACE-1",1189,1077.35870363729,1300.64129636271,839,1059
"367","220","Chao1984",951,871.566950976281,1030.43304902372,821,1137
"368","220","ChaoBunge2002",-2296,-4443.58150448236,-148.418495517644,-271,-10219
"369","220","ACE-1",1295,1156.97464379574,1433.02535620426,852,1102
"370","221","Chao1984",1039,974.986066537516,1103.01393346248,932,1186
"371","221","ChaoBunge2002",6361,-1736.3757106001,14458.3757106001,1300,45023
"372","221","ACE-1",1379,1261.45312158822,1496.54687841178,998,1235
"373","222","Chao1984",1311,1219.95267488049,1402.04732511951,1157,1517
"374","222","ChaoBunge2002",-1543,-2315.08239704661,-770.917602953385,-484,-3657
"375","222","ACE-1",1991,1792.54013765661,2189.45986234339,1268,1611
"376","223","Chao1984",877,815.740172470371,938.259827529629,776,1019
"377","223","ChaoBunge2002",-26984,-245022.291121994,191054.291121994,-57,-1494800
"378","223","ACE-1",1216,1098.60883013889,1333.39116986111,840,1066
"379","224","Chao1984",701,637.990639601126,764.009360398874,600,851
"380","224","ChaoBunge2002",-4394,-13984.1222697338,5196.12226973379,-51,-57482
"381","224","ACE-1",941,832.702245947802,1049.2977540522,627,831
